id_oferta,fecha_publicacion,ciudad,rol,skills,salario_mensual_mxn,exp_requerida,modalidad
84,2024-06-18,CDMX,ML Engineer,"Python, SQL, Pandas",54578,3,híbrido
85,2024-02-16,GDL,Backend,"AWS, Java, Python, Docker",48995,4,presencial
86,2024-02-01,GDL,ML Engineer,"Python, SQL",62104,1,híbrido
87,2024-05-24,CDMX,Data Analyst,"SQL, Power BI, Python",46538,1,presencial
88,2024-02-21,CDMX,Backend,"Docker, Python, Java, AWS",40807,1,remoto
89,2024-01-16,MTY,Frontend,"Docker, JavaScript",40343,3,remoto
90,2024-03-19,CDMX,ML Engineer,"AWS, Pandas",57931,5,híbrido
91,2024-01-17,CDMX,Frontend,"JavaScript, Docker",29158,3,presencial
92,2024-01-06,MTY,ML Engineer,"Python, AWS, Pandas",53915,1,híbrido
93,2024-02-27,Querétaro,Frontend,"JavaScript, Docker",20315,1,híbrido
94,2024-04-03,CDMX,Frontend,"JavaScript, Docker",53113,1,híbrido
95,2024-04-25,CDMX,Data Analyst,"Python, Tableau, SQL",31193,1,presencial
96,2024-01-21,MTY,DevOps,"Python, AWS",51645,1,híbrido
97,2024-05-01,Querétaro,Frontend,"JavaScript, Docker",29058,1,remoto
98,2024-06-20,GDL,Frontend,"Docker, JavaScript",41581,1,híbrido
99,2024-01-13,MTY,Frontend,"JavaScript, Docker",23001,3,presencial
100,2024-06-07,CDMX,Frontend,"Docker, JavaScript",43797,2,híbrido
101,2024-03-20,GDL,ML Engineer,"SQL, Python, AWS",34028,2,remoto
102,2024-05-12,Querétaro,Data Engineer,"AWS, SQL",44270,3,presencial
103,2024-02-27,Querétaro,Data Analyst,"SQL, Tableau, Power BI",34612,1,híbrido
104,2024-01-12,Puebla,DevOps,"AWS, Python, Docker",44258,1,híbrido
105,2024-02-19,MTY,ML Engineer,"SQL, Pandas, Python",67857,4,híbrido
106,2024-03-01,CDMX,Backend,"AWS, Python, Java, Docker",49673,5,híbrido
107,2024-05-19,MTY,Data Engineer,"AWS, Python",44079,5,remoto
108,2024-04-21,GDL,Data Engineer,"AWS, SQL, Airflow, Python",45191,2,híbrido
109,2024-02-18,MTY,Backend,"Docker, AWS",58538,1,presencial
110,2024-03-13,CDMX,DevOps,"Python, AWS, Docker",74844,1,presencial
111,2024-03-03,GDL,DevOps,"AWS, Docker",55145,2,remoto
112,2024-05-05,MTY,Data Engineer,"SQL, Airflow, AWS, Python",51659,2,remoto
113,2024-04-04,Puebla,Backend,"Python, Docker, AWS",45590,2,híbrido
114,2024-03-27,CDMX,Data Engineer,"AWS, Airflow, SQL, Python",41222,2,remoto
115,2024-02-18,Puebla,Data Engineer,"SQL, AWS, Airflow, Python",26739,2,híbrido
116,2024-04-05,MTY,Frontend,"JavaScript, Docker",23851,3,remoto
117,2024-06-02,CDMX,ML Engineer,"SQL, AWS, Pandas",43687,2,híbrido
118,2024-04-18,CDMX,Frontend,"JavaScript, Docker",27353,1,híbrido
119,2024-01-04,CDMX,DevOps,"Python, AWS",43499,1,híbrido
120,2024-03-02,CDMX,Data Analyst,"SQL, Tableau, Python, Power BI",22348,3,remoto
121,2024-05-26,Querétaro,Frontend,"Docker, JavaScript",37815,3,remoto
122,2024-01-23,Querétaro,Backend,"Docker, AWS, Python, Java",34043,1,híbrido
123,2024-04-25,MTY,Frontend,"Docker, JavaScript",20376,2,remoto
124,2024-06-20,Querétaro,DevOps,"Docker, AWS",48996,2,presencial
125,2024-06-19,MTY,ML Engineer,"Pandas, Python, SQL, AWS",56044,4,presencial
126,2024-05-04,CDMX,Data Engineer,"SQL, AWS, Airflow",60584,5,remoto
127,2024-05-10,CDMX,Data Engineer,"SQL, Airflow",52847,2,presencial
128,2024-04-06,Puebla,ML Engineer,"Pandas, SQL",60280,5,remoto
129,2024-06-18,CDMX,ML Engineer,"Pandas, SQL, AWS, Python",54052,2,híbrido
130,2024-06-12,GDL,ML Engineer,"SQL, AWS, Pandas",56749,4,presencial
131,2024-03-22,CDMX,DevOps,"Python, Docker",41917,2,remoto
132,2024-05-26,Puebla,DevOps,"Docker, Python",44932,2,remoto
133,2024-05-15,CDMX,Data Engineer,"Airflow, AWS, SQL, Python",40958,2,presencial
134,2024-05-03,CDMX,ML Engineer,"Python, AWS, Pandas",62274,3,híbrido
135,2024-05-14,GDL,Backend,"AWS, Docker",51120,4,híbrido
136,2024-04-18,Puebla,Data Analyst,"Tableau, Power BI, SQL, Python",26490,3,remoto
137,2024-04-05,Querétaro,ML Engineer,"Python, Pandas, SQL, AWS",68242,2,híbrido
138,2024-04-12,CDMX,Frontend,"Docker, JavaScript",43161,1,híbrido
139,2024-02-12,GDL,Frontend,"JavaScript, Docker",44190,1,remoto
140,2024-05-01,CDMX,Data Engineer,"AWS, SQL",40141,2,híbrido
141,2024-01-16,Querétaro,Frontend,"Docker, JavaScript",27494,1,remoto
142,2024-02-22,CDMX,Backend,"Docker, Java, AWS, Python",60435,1,híbrido
143,2024-05-23,MTY,Backend,"Python, AWS",61465,1,remoto
144,2024-05-12,GDL,Frontend,"JavaScript, Docker",47560,3,híbrido
145,2024-01-04,MTY,Data Engineer,"Airflow, AWS, Python",62782,2,híbrido
146,2024-02-05,Puebla,Data Engineer,"Python, Airflow, SQL",63418,3,híbrido
147,2024-03-20,CDMX,DevOps,"Docker, AWS",38547,1,híbrido
148,2024-05-09,CDMX,Backend,"Java, AWS",42461,2,presencial
149,2024-05-09,MTY,Frontend,"Docker, JavaScript",37339,3,híbrido
150,2024-06-17,GDL,Backend,"AWS, Docker, Java, Python",53571,2,híbrido
151,2024-02-08,CDMX,Data Analyst,"Python, SQL, Tableau",59385,3,remoto
152,2024-04-04,Querétaro,Backend,"Docker, Python, AWS, Java",48461,2,remoto
153,2024-03-02,GDL,DevOps,"Docker, AWS, Python",51204,1,híbrido
154,2024-06-22,GDL,Backend,"Python, Java",45779,3,híbrido
155,2024-03-02,CDMX,Data Engineer,"Python, SQL, Airflow, AWS",37397,2,híbrido
156,2024-06-11,CDMX,Data Analyst,"Tableau, Python, Power BI, SQL",22119,5,híbrido
157,2024-01-06,GDL,Data Analyst,"Python, Tableau, Power BI, SQL",36220,4,remoto
158,2024-04-25,CDMX,ML Engineer,"Pandas, Python",55159,1,híbrido
159,2024-01-21,GDL,Backend,"Python, Java, Docker",50585,1,presencial
160,2024-02-07,GDL,Frontend,"JavaScript, Docker",34125,5,remoto
161,2024-01-11,GDL,DevOps,"Python, Docker, AWS",46747,4,híbrido
162,2024-02-14,MTY,DevOps,"Python, AWS, Docker",30980,3,remoto
163,2024-04-08,CDMX,Data Analyst,"Tableau, Python, Power BI, SQL",29304,3,híbrido
164,2024-01-05,MTY,Data Engineer,"SQL, Airflow, AWS",51079,4,presencial
165,2024-04-13,MTY,Frontend,"Docker, JavaScript",30648,1,híbrido
166,2024-05-18,MTY,ML Engineer,"Pandas, Python",66835,4,híbrido
167,2024-05-08,GDL,Backend,"Python, Java",32190,4,remoto
168,2024-02-03,Puebla,Backend,"Python, Java",41683,1,presencial
169,2024-05-11,MTY,Frontend,"Docker, JavaScript",30462,2,remoto
170,2024-03-22,GDL,Frontend,"Docker, JavaScript",31773,2,remoto
171,2024-01-16,CDMX,ML Engineer,"SQL, Pandas, AWS",57757,2,híbrido
172,2024-03-05,CDMX,Data Engineer,"Python, Airflow",42989,3,presencial
173,2024-02-08,MTY,Data Analyst,"Python, SQL, Tableau, Power BI",28576,3,remoto
174,2024-02-27,Querétaro,Frontend,"Docker, JavaScript",35602,4,híbrido
175,2024-02-27,GDL,ML Engineer,"Pandas, SQL",60437,2,híbrido
176,2024-04-16,Puebla,DevOps,"Python, Docker",53710,1,remoto
177,2024-06-23,MTY,Frontend,"Docker, JavaScript",32899,3,híbrido
178,2024-06-19,MTY,Backend,"Python, AWS, Java",53089,2,híbrido
179,2024-04-26,MTY,ML Engineer,"Python, SQL",43160,1,remoto
180,2024-05-22,Querétaro,Backend,"AWS, Docker, Python",62425,1,híbrido
181,2024-05-01,Querétaro,Data Analyst,"Power BI, Python",47455,2,híbrido
182,2024-01-23,Puebla,Backend,"Docker, AWS",52759,2,remoto
183,2024-05-04,CDMX,Backend,"Java, AWS, Python",56341,1,remoto
184,2024-05-21,Querétaro,Frontend,"Docker, JavaScript",22408,1,híbrido
185,2024-02-09,Puebla,DevOps,"Docker, AWS, Python",63117,2,presencial
186,2024-06-14,CDMX,Backend,"Java, AWS, Docker, Python",26081,1,remoto
187,2024-03-25,CDMX,ML Engineer,"AWS, SQL",58844,4,remoto
188,2024-06-04,CDMX,Frontend,"Docker, JavaScript",47454,1,híbrido
189,2024-03-04,CDMX,DevOps,"Python, Docker, AWS",52100,1,remoto
190,2024-05-23,MTY,Data Analyst,"Tableau, SQL, Python, Power BI",37744,1,presencial
191,2024-04-22,GDL,Frontend,"Docker, JavaScript",51812,5,remoto
192,2024-04-21,MTY,ML Engineer,"Python, SQL",62090,1,híbrido
193,2024-03-11,CDMX,Data Engineer,"AWS, Python",55286,3,remoto
194,2024-06-27,MTY,DevOps,"Python, AWS, Docker",61271,2,híbrido
195,2024-04-12,Puebla,Backend,"Docker, Java",47486,3,presencial
196,2024-01-27,MTY,Backend,"Docker, Java, Python, AWS",45953,2,presencial
197,2024-06-14,CDMX,DevOps,"Python, Docker",61226,4,presencial
198,2024-06-15,CDMX,Frontend,"JavaScript, Docker",50019,1,remoto
199,2024-06-26,CDMX,Data Analyst,"SQL, Tableau, Python",19771,3,presencial
200,2024-03-10,Querétaro,Frontend,"Docker, JavaScript",47825,2,remoto
201,2024-02-07,GDL,Frontend,"Docker, JavaScript",30703,5,presencial
202,2024-02-15,MTY,Frontend,"JavaScript, Docker",43862,3,remoto
203,2024-04-04,CDMX,Data Analyst,"Power BI, SQL, Python, Tableau",52184,4,presencial
204,2024-02-26,CDMX,Backend,"Java, AWS",23504,3,híbrido
205,2024-06-11,Querétaro,ML Engineer,"AWS, Pandas, SQL, Python",37121,5,remoto
206,2024-04-02,Querétaro,DevOps,"AWS, Python",42799,2,híbrido
207,2024-06-13,GDL,DevOps,"Docker, Python, AWS",55020,2,presencial
208,2024-01-05,CDMX,Backend,"AWS, Python",49012,2,remoto
209,2024-04-01,GDL,Data Engineer,"Python, SQL, AWS, Airflow",35742,1,remoto
210,2024-03-12,GDL,DevOps,"Docker, AWS, Python",42542,2,presencial
211,2024-05-26,GDL,Frontend,"JavaScript, Docker",32939,1,remoto
212,2024-04-10,MTY,Data Analyst,"Tableau, SQL, Power BI, Python",36579,1,híbrido
213,2024-06-25,Puebla,ML Engineer,"Python, AWS, Pandas",60598,5,híbrido
214,2024-06-20,CDMX,Backend,"Python, Java, Docker",48325,1,presencial
215,2024-06-05,MTY,Data Analyst,"Power BI, Python",43665,2,híbrido
216,2024-01-21,Puebla,Data Analyst,"Tableau, Power BI, Python",41779,1,presencial
217,2024-04-16,MTY,Frontend,"Docker, JavaScript",31598,1,híbrido
218,2024-05-12,Querétaro,DevOps,"Docker, AWS, Python",41706,5,híbrido
219,2024-01-27,Puebla,ML Engineer,"Pandas, SQL",53511,2,híbrido
220,2024-06-22,GDL,Frontend,"Docker, JavaScript",26004,2,híbrido
221,2024-01-16,CDMX,Frontend,"Docker, JavaScript",43888,1,presencial
222,2024-01-18,MTY,Backend,"Python, Java, Docker",50981,1,presencial
223,2024-05-04,Querétaro,DevOps,"Docker, Python, AWS",58597,5,híbrido
224,2024-02-19,CDMX,Data Engineer,"SQL, AWS, Python, Airflow",43888,1,híbrido
225,2024-05-04,CDMX,Data Analyst,"Python, Tableau, Power BI",40191,3,presencial
226,2024-04-08,Querétaro,Data Engineer,"AWS, Python, Airflow, SQL",60508,5,híbrido
227,2024-03-14,CDMX,DevOps,"Docker, Python, AWS",47944,5,presencial
228,2024-02-17,CDMX,Frontend,"JavaScript, Docker",32807,1,híbrido
229,2024-04-13,CDMX,Data Engineer,"Airflow, SQL, Python",65428,5,híbrido
230,2024-03-09,CDMX,ML Engineer,"AWS, SQL",45547,1,híbrido
231,2024-04-16,MTY,Frontend,"Docker, JavaScript",35414,1,remoto
232,2024-04-08,Puebla,Backend,"AWS, Python",29470,2,remoto
233,2024-03-06,CDMX,ML Engineer,"Pandas, Python, SQL, AWS",54414,1,remoto
234,2024-05-07,CDMX,Data Engineer,"SQL, AWS, Airflow, Python",40297,2,remoto
235,2024-06-07,Querétaro,Data Analyst,"SQL, Python, Power BI, Tableau",39910,1,híbrido
236,2024-02-22,GDL,DevOps,"Docker, AWS, Python",44786,1,híbrido
237,2024-02-07,MTY,Backend,"AWS, Python, Java, Docker",40039,3,remoto
238,2024-02-07,GDL,Frontend,"JavaScript, Docker",41071,3,remoto
239,2024-04-14,CDMX,Data Engineer,"Python, AWS, Airflow",62489,3,remoto
240,2024-02-01,MTY,ML Engineer,"SQL, Pandas, AWS",69598,2,remoto
241,2024-01-21,MTY,Data Analyst,"Tableau, SQL, Python, Power BI",42963,2,híbrido
242,2024-04-06,GDL,Backend,"AWS, Python",28332,1,remoto
243,2024-05-16,GDL,Data Analyst,"Tableau, Power BI",24068,2,híbrido
244,2024-01-27,GDL,Data Engineer,"Airflow, SQL",34416,5,presencial
245,2024-02-04,MTY,ML Engineer,"AWS, SQL, Python",56949,1,remoto
246,2024-06-21,GDL,Backend,"AWS, Java",34080,2,híbrido
247,2024-05-25,Puebla,Frontend,"Docker, JavaScript",47415,2,presencial
248,2024-04-13,MTY,DevOps,"AWS, Python, Docker",56467,3,híbrido
249,2024-02-16,Querétaro,Data Engineer,"AWS, Python",56057,3,remoto
250,2024-05-15,CDMX,Data Engineer,"Python, Airflow",40525,5,remoto
251,2024-06-03,CDMX,Backend,"Docker, Python, AWS",43412,1,presencial
252,2024-04-05,CDMX,Data Analyst,"Python, SQL, Tableau",28769,1,remoto
253,2024-02-24,Querétaro,ML Engineer,"Pandas, Python, SQL, AWS",61912,5,híbrido
254,2024-06-11,CDMX,Data Analyst,"Python, SQL, Power BI",23646,2,híbrido
255,2024-02-05,GDL,ML Engineer,"Pandas, AWS, SQL, Python",59022,1,presencial
256,2024-05-12,GDL,DevOps,"Python, Docker, AWS",50680,1,híbrido
257,2024-05-20,CDMX,Data Analyst,"Python, Power BI, SQL",25084,4,híbrido
258,2024-05-18,MTY,Frontend,"JavaScript, Docker",39927,1,remoto
259,2024-06-05,CDMX,Data Analyst,"Python, Tableau, Power BI",37625,1,híbrido
260,2024-01-05,MTY,DevOps,"Python, Docker, AWS",52806,2,remoto
261,2024-05-25,CDMX,Frontend,"JavaScript, Docker",23243,1,híbrido
262,2024-04-15,Puebla,ML Engineer,"AWS, Pandas",59411,3,híbrido
263,2024-03-13,CDMX,Data Analyst,"Power BI, Tableau, SQL",39946,5,remoto
264,2024-02-15,CDMX,ML Engineer,"AWS, Pandas, SQL, Python",61443,4,remoto
265,2024-05-23,GDL,Data Engineer,"AWS, SQL, Airflow, Python",56257,2,híbrido
266,2024-01-12,CDMX,Data Analyst,"Tableau, SQL, Python, Power BI",38351,5,híbrido
267,2024-03-10,MTY,Data Analyst,"Power BI, Tableau, SQL, Python",34705,3,remoto
268,2024-04-24,GDL,Data Analyst,"Python, Power BI, SQL, Tableau",19630,1,presencial
269,2024-02-24,Puebla,Data Engineer,"Python, Airflow, AWS, SQL",44386,5,híbrido
270,2024-02-07,CDMX,Data Engineer,"AWS, SQL, Airflow, Python",47517,2,remoto
271,2024-05-27,CDMX,ML Engineer,"AWS, Python, Pandas",68263,2,híbrido
272,2024-01-26,CDMX,Data Engineer,"Airflow, SQL",48847,3,remoto
273,2024-03-16,MTY,ML Engineer,"Python, AWS, SQL, Pandas",51077,1,híbrido
274,2024-01-25,CDMX,DevOps,"Docker, AWS, Python",47999,4,híbrido
275,2024-01-22,CDMX,DevOps,"AWS, Docker",61177,1,remoto
276,2024-03-02,CDMX,Data Analyst,"Power BI, SQL, Python",39857,5,híbrido
277,2024-04-09,CDMX,Frontend,"JavaScript, Docker",42173,5,remoto
278,2024-04-06,CDMX,DevOps,"Docker, Python, AWS",50329,1,presencial
279,2024-04-20,CDMX,Frontend,"JavaScript, Docker",26989,4,remoto
280,2024-03-11,MTY,ML Engineer,"Pandas, Python, AWS, SQL",42325,3,remoto
281,2024-06-16,CDMX,Backend,"Java, Docker",47647,2,presencial
282,2024-04-20,CDMX,ML Engineer,"SQL, AWS",55016,1,presencial
283,2024-04-16,CDMX,Data Analyst,"Power BI, Python, SQL, Tableau",35243,1,presencial
284,2024-05-24,CDMX,DevOps,"AWS, Python, Docker",41893,5,presencial
285,2024-03-02,MTY,DevOps,"AWS, Docker, Python",45825,3,remoto
286,2024-04-11,CDMX,Data Analyst,"Tableau, Power BI, SQL",29295,4,presencial
287,2024-05-05,MTY,Data Engineer,"Python, SQL",64425,2,híbrido
288,2024-03-13,CDMX,Backend,"AWS, Python",55152,5,remoto
289,2024-01-14,MTY,Frontend,"Docker, JavaScript",47007,2,remoto
290,2024-05-21,MTY,Backend,"Python, Docker, Java, AWS",39240,5,remoto
291,2024-04-07,GDL,DevOps,"Python, Docker, AWS",57340,3,remoto
292,2024-02-08,CDMX,Frontend,"JavaScript, Docker",26023,3,híbrido
293,2024-01-01,GDL,Backend,"Python, Docker, Java, AWS",49771,1,presencial
294,2024-01-09,CDMX,ML Engineer,"Pandas, AWS",65721,4,híbrido
295,2024-02-16,MTY,ML Engineer,"Pandas, Python, AWS, SQL",68198,2,remoto
296,2024-06-26,Querétaro,Backend,"AWS, Docker",37420,3,remoto
297,2024-02-07,CDMX,Backend,"Docker, Python, Java, AWS",52334,5,híbrido
298,2024-02-08,MTY,Frontend,"JavaScript, Docker",57055,1,remoto
299,2024-05-10,Puebla,Data Analyst,"Tableau, Python, SQL",46301,5,remoto
300,2024-04-23,MTY,Data Analyst,"Python, Tableau, Power BI, SQL",25789,2,presencial
301,2024-04-20,CDMX,ML Engineer,"Python, Pandas, SQL, AWS",59074,5,híbrido
302,2024-05-23,CDMX,ML Engineer,"Pandas, Python",54665,5,híbrido
303,2024-02-14,CDMX,Data Analyst,"Python, SQL, Tableau",30800,1,remoto
304,2024-03-05,GDL,Backend,"Docker, Python, Java, AWS",31025,4,híbrido
305,2024-01-05,Querétaro,Backend,"AWS, Java",53402,2,presencial
306,2024-03-03,GDL,Backend,"Docker, Python",45109,1,híbrido
307,2024-06-25,CDMX,Frontend,"JavaScript, Docker",40317,4,presencial
308,2024-04-10,MTY,Data Analyst,"Power BI, Python",32328,1,presencial
309,2024-03-22,GDL,DevOps,"Docker, Python",34790,1,remoto
310,2024-02-01,CDMX,Frontend,"JavaScript, Docker",36531,3,híbrido
311,2024-05-08,MTY,DevOps,"AWS, Docker",54115,5,híbrido
312,2024-05-22,GDL,DevOps,"Python, Docker, AWS",54249,2,híbrido
313,2024-02-09,GDL,Data Engineer,"Python, AWS, SQL, Airflow",42061,5,remoto
314,2024-01-09,CDMX,ML Engineer,"Pandas, AWS, Python",51603,5,híbrido
315,2024-04-01,CDMX,ML Engineer,"Python, AWS, Pandas, SQL",56738,2,remoto
316,2024-04-27,CDMX,Data Analyst,"Python, Tableau, Power BI, SQL",36357,4,presencial
317,2024-01-27,GDL,ML Engineer,"Pandas, Python, AWS",46634,1,híbrido
318,2024-01-20,Querétaro,ML Engineer,"SQL, AWS, Pandas, Python",61337,1,híbrido
319,2024-06-13,CDMX,Frontend,"Docker, JavaScript",39291,2,híbrido
320,2024-03-03,Querétaro,DevOps,"AWS, Docker, Python",58170,1,híbrido
321,2024-01-25,CDMX,DevOps,"AWS, Python",59928,1,híbrido
322,2024-05-15,GDL,Data Engineer,"Airflow, AWS, SQL, Python",43108,1,híbrido
323,2024-02-08,CDMX,ML Engineer,"SQL, Python, Pandas",59118,5,remoto
324,2024-01-04,Querétaro,Frontend,"JavaScript, Docker",42453,1,híbrido
325,2024-04-18,Querétaro,Data Analyst,"Tableau, Python, SQL",37047,4,híbrido
326,2024-03-22,Querétaro,DevOps,"Python, Docker",48323,2,híbrido
327,2024-06-19,CDMX,ML Engineer,"Python, AWS, SQL, Pandas",64605,2,remoto
328,2024-05-26,CDMX,Frontend,"Docker, JavaScript",41912,5,remoto
329,2024-02-12,CDMX,Data Engineer,"AWS, Python, SQL",55907,3,presencial
330,2024-03-07,MTY,Data Analyst,"Tableau, SQL, Python, Power BI",36679,3,híbrido
331,2024-02-05,Querétaro,Data Analyst,"Python, Tableau, Power BI, SQL",32189,3,remoto
332,2024-06-26,CDMX,ML Engineer,"Python, SQL, Pandas",61494,1,presencial
333,2024-03-05,MTY,Data Analyst,"Tableau, Power BI",26719,3,híbrido
334,2024-02-27,CDMX,Data Analyst,"Power BI, SQL",33510,2,remoto
335,2024-02-08,CDMX,ML Engineer,"Python, SQL, Pandas, AWS",70412,4,híbrido
336,2024-05-23,CDMX,Data Analyst,"Python, Tableau, SQL",19075,3,presencial
337,2024-01-04,GDL,Data Analyst,"Tableau, SQL",38087,1,híbrido
